dtto,municipio,secc,PAN_UDC,PRI_PVEM_PNA_PPC,PRI_PNA_PSD,PRI_PNA_PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
13,ABASOLO,1,149,0,0,0,343,2,2,1,1,1,1,0,2,502,10,512
13,ABASOLO,2,118,0,0,0,122,0,0,2,3,0,3,0,0,248,4,252
15,ACUÑA,3,270,0,0,0,1073,9,11,14,8,10,12,28,4,1439,38,1477
15,ACUÑA,4,609,0,0,0,2152,29,31,22,6,8,21,11,11,2900,61,2961
15,ACUÑA,5,221,0,0,0,640,12,7,12,2,5,5,14,5,923,18,941
15,ACUÑA,6,119,0,0,0,374,11,9,2,0,3,4,2,2,526,12,538
15,ACUÑA,7,163,0,0,0,493,8,10,4,2,5,5,3,5,698,16,714
15,ACUÑA,8,154,0,0,0,515,4,6,3,3,5,5,4,1,700,17,717
15,ACUÑA,9,1601,0,0,0,4951,49,72,44,31,38,76,84,15,6961,129,7090
15,ACUÑA,10,1632,0,0,0,4600,60,42,32,20,24,63,66,55,6594,115,6709
15,ACUÑA,11,322,0,0,0,1121,9,11,11,2,8,14,12,9,1519,32,1551
15,ACUÑA,12,359,0,0,0,1276,19,18,9,5,18,22,29,8,1763,41,1804
15,ACUÑA,13,74,0,0,0,211,2,5,1,0,1,4,1,1,300,4,304
15,ACUÑA,14,88,0,0,0,360,6,6,2,0,4,2,2,2,472,8,480
15,ACUÑA,15,118,0,0,0,378,4,7,3,1,4,5,1,8,529,13,542
15,ACUÑA,16,142,0,0,0,325,4,2,2,2,1,5,3,0,486,13,499
15,ACUÑA,17,141,0,0,0,309,5,8,4,1,7,5,1,3,484,6,490
15,ACUÑA,18,240,0,0,0,737,21,13,8,3,9,9,2,5,1047,36,1083
15,ACUÑA,19,1356,0,0,0,3387,31,55,26,38,34,36,66,14,5043,97,5140
15,ACUÑA,20,163,0,0,0,420,12,7,3,1,9,3,4,7,629,6,635
15,ACUÑA,21,186,0,0,0,432,1,5,7,1,6,2,0,0,640,17,657
15,ACUÑA,22,111,0,0,0,346,4,17,3,0,2,5,5,6,499,15,514
15,ACUÑA,23,85,0,0,0,221,5,4,3,3,4,6,4,0,335,6,341
15,ACUÑA,24,78,0,0,0,264,2,8,4,2,1,4,5,2,370,8,378
15,ACUÑA,25,211,0,0,0,449,6,8,5,2,15,12,5,1,714,13,727
15,ACUÑA,26,137,0,0,0,301,3,11,3,1,7,7,3,3,476,13,489
15,ACUÑA,27,130,0,0,0,352,5,3,5,2,9,0,2,4,512,11,523
15,ACUÑA,28,185,0,0,0,593,4,10,6,5,1,11,7,7,829,18,847
15,ACUÑA,29,203,0,0,0,757,5,11,7,3,7,9,8,2,1012,26,1038
15,ACUÑA,30,231,0,0,0,483,10,14,5,8,14,3,8,2,778,11,789
15,ACUÑA,31,777,0,0,0,2216,28,37,29,14,53,30,48,18,3250,60,3310
15,ACUÑA,32,79,0,0,0,415,2,9,4,2,8,3,3,3,528,8,536
15,ACUÑA,33,583,0,0,0,1608,24,15,18,10,19,31,43,14,2365,50,2415
15,ACUÑA,34,625,0,0,0,1755,10,30,14,6,16,34,23,8,2521,68,2589
15,ACUÑA,35,483,0,0,0,1559,16,31,19,8,14,19,24,18,2191,63,2254
15,ACUÑA,36,176,0,0,0,589,9,9,2,2,2,3,6,5,803,31,834
15,ACUÑA,37,131,0,0,0,535,7,7,4,2,3,4,3,1,697,26,723
15,ACUÑA,40,2,0,0,0,6,0,0,0,0,0,0,0,0,8,1,9
15,ACUÑA,41,375,0,0,0,1257,15,12,18,8,4,10,10,9,1718,44,1762
14,ALLENDE,42,451,0,677,0,0,14,21,7,4,0,0,0,0,1174,16,1190
14,ALLENDE,43,348,0,525,0,0,9,12,10,2,0,0,0,0,906,25,931
14,ALLENDE,44,308,0,359,0,0,3,7,5,2,0,0,0,0,684,16,700
14,ALLENDE,45,188,0,262,0,0,6,4,3,1,0,0,0,0,464,16,480
14,ALLENDE,46,244,0,316,0,0,8,6,4,6,0,0,0,0,584,21,605
14,ALLENDE,47,385,0,521,0,0,16,10,11,3,0,0,0,0,946,23,969
14,ALLENDE,48,166,0,289,0,0,12,3,3,3,0,0,0,0,476,17,493
14,ALLENDE,49,247,0,437,0,0,9,2,7,3,0,0,0,0,705,27,732
14,ALLENDE,50,318,0,365,0,0,5,4,5,2,0,0,0,0,699,26,725
14,ALLENDE,51,416,0,569,0,0,10,6,9,6,0,0,0,0,1016,33,1049
14,ALLENDE,52,171,0,252,0,0,4,7,4,1,0,0,0,0,439,17,456
14,ALLENDE,53,182,0,302,0,0,8,4,5,2,0,0,0,0,503,18,521
14,ALLENDE,54,357,0,455,0,0,3,4,4,4,0,0,0,0,827,19,846
14,ALLENDE,55,228,0,613,0,0,8,12,4,5,0,0,0,0,870,30,900
14,ALLENDE,56,28,0,64,0,0,1,0,0,0,0,0,0,0,93,9,102
5,ARTEAGA,57,577,1422,0,0,0,34,17,0,12,0,7,0,0,2069,93,2162
5,ARTEAGA,58,108,270,0,0,0,4,4,0,2,0,1,0,0,389,10,399
5,ARTEAGA,59,344,645,0,0,0,18,11,0,7,0,3,0,0,1028,36,1064
5,ARTEAGA,60,6,33,0,0,0,1,1,0,0,0,0,0,0,41,0,41
5,ARTEAGA,61,15,87,0,0,0,2,0,0,0,0,0,0,0,104,4,108
5,ARTEAGA,62,11,45,0,0,0,0,2,0,0,0,0,0,0,58,4,62
5,ARTEAGA,63,185,407,0,0,0,11,13,0,7,0,2,0,0,625,22,647
5,ARTEAGA,64,142,570,0,0,0,6,6,0,4,0,15,0,0,743,37,780
5,ARTEAGA,65,6,28,0,0,0,1,0,0,0,0,1,0,0,36,5,41
5,ARTEAGA,66,119,222,0,0,0,3,4,0,0,0,6,0,0,354,28,382
5,ARTEAGA,67,41,66,0,0,0,0,5,0,0,0,1,0,0,113,5,118
5,ARTEAGA,68,25,145,0,0,0,1,1,0,3,0,3,0,0,178,14,192
5,ARTEAGA,69,105,593,0,0,0,2,10,0,3,0,4,0,0,717,41,758
5,ARTEAGA,70,56,252,0,0,0,0,2,0,4,0,4,0,0,318,15,333
5,ARTEAGA,71,20,117,0,0,0,0,1,0,0,0,0,0,0,138,1,139
5,ARTEAGA,72,27,84,0,0,0,0,3,0,0,0,2,0,0,116,2,118
5,ARTEAGA,73,70,110,0,0,0,2,3,0,1,0,2,0,0,188,8,196
5,ARTEAGA,74,82,229,0,0,0,3,6,0,1,0,2,0,0,323,23,346
5,ARTEAGA,75,338,1009,0,0,0,4,13,0,5,0,10,0,0,1379,38,1417
5,ARTEAGA,76,35,89,0,0,0,0,1,0,0,0,8,0,0,133,3,136
5,ARTEAGA,77,24,93,0,0,0,1,1,0,0,0,0,0,0,119,6,125
5,ARTEAGA,78,99,402,0,0,0,0,7,0,6,0,4,0,0,518,25,543
5,ARTEAGA,79,210,765,0,0,0,6,8,0,3,0,1,0,0,993,62,1055
5,ARTEAGA,80,83,288,0,0,0,2,5,0,6,0,7,0,0,391,9,400
12,CANDELA,81,92,0,218,0,0,7,3,1,0,0,0,0,0,321,9,330
12,CANDELA,82,222,0,407,0,0,4,4,9,3,0,0,0,0,649,17,666
12,CANDELA,83,18,0,184,0,0,0,0,1,1,0,0,0,0,204,7,211
12,CASTAÑOS,84,299,0,645,0,0,54,24,10,65,0,0,0,0,1097,27,1124
12,CASTAÑOS,85,143,0,336,0,0,16,16,5,27,0,0,0,0,543,16,559
12,CASTAÑOS,86,157,0,387,0,0,52,15,8,12,0,0,0,0,631,34,665
12,CASTAÑOS,87,274,0,666,0,0,56,39,5,53,0,0,0,0,1093,27,1120
12,CASTAÑOS,88,170,0,484,0,0,15,23,6,40,0,0,0,0,738,25,763
12,CASTAÑOS,89,246,0,594,0,0,39,21,7,45,0,0,0,0,952,22,974
12,CASTAÑOS,90,314,0,463,0,0,21,13,3,35,0,0,0,0,849,20,869
12,CASTAÑOS,91,189,0,460,0,0,29,22,5,51,0,0,0,0,756,14,770
12,CASTAÑOS,92,153,0,341,0,0,21,7,9,23,0,0,0,0,554,32,586
12,CASTAÑOS,93,92,0,357,0,0,15,18,2,19,0,0,0,0,503,59,562
12,CASTAÑOS,94,312,0,454,0,0,30,31,5,33,0,0,0,0,865,17,882
12,CASTAÑOS,96,297,0,553,0,0,44,10,7,41,0,0,0,0,952,34,986
12,CASTAÑOS,97,69,0,168,0,0,17,2,3,3,0,0,0,0,262,7,269
12,CASTAÑOS,98,64,0,63,0,0,4,2,0,0,0,0,0,0,133,1,134
12,CASTAÑOS,99,8,0,60,0,0,3,2,0,0,0,0,0,0,73,1,74
12,CASTAÑOS,101,6,0,35,0,0,2,2,0,1,0,0,0,0,46,3,49
12,CASTAÑOS,102,11,0,84,0,0,1,0,1,4,0,0,0,0,101,0,101
12,CASTAÑOS,103,8,0,33,0,0,2,1,0,0,0,0,0,0,44,1,45
12,CASTAÑOS,104,17,0,142,0,0,5,3,0,1,0,0,0,0,168,6,174
12,CASTAÑOS,105,7,0,113,0,0,3,0,0,0,0,0,0,0,123,4,127
12,CASTAÑOS,106,15,0,128,0,0,2,0,0,1,0,0,0,0,146,1,147
12,CASTAÑOS,107,1,0,2,0,0,1,0,0,0,0,0,0,0,4,5,9
12,CASTAÑOS,108,2,0,163,0,0,0,0,1,0,0,0,0,0,166,4,170
12,CASTAÑOS,109,18,0,78,0,0,3,4,1,0,0,0,0,0,104,4,108
11,CUATROCIENEGAS,110,133,0,0,154,0,6,5,2,6,0,1,0,0,307,16,323
11,CUATROCIENEGAS,111,284,0,0,302,0,10,3,4,20,0,2,0,0,625,11,636
11,CUATROCIENEGAS,112,143,0,0,266,0,9,1,3,8,0,1,0,0,431,2,433
11,CUATROCIENEGAS,113,368,0,0,441,0,17,8,3,16,0,3,0,0,856,16,872
11,CUATROCIENEGAS,114,220,0,0,305,0,5,6,3,14,0,6,0,0,559,15,574
11,CUATROCIENEGAS,115,252,0,0,277,0,5,8,3,12,0,4,0,0,561,18,579
11,CUATROCIENEGAS,116,615,0,0,548,0,17,8,6,21,0,2,0,0,1217,35,1252
11,CUATROCIENEGAS,117,10,0,0,21,0,1,1,0,0,0,0,0,0,33,0,33
11,CUATROCIENEGAS,118,17,0,0,42,0,0,0,0,0,0,0,0,0,59,5,64
11,CUATROCIENEGAS,119,38,0,0,44,0,3,0,0,1,0,2,0,0,88,7,95
11,CUATROCIENEGAS,121,13,0,0,92,0,2,1,0,0,0,0,0,0,108,1,109
11,CUATROCIENEGAS,122,60,0,0,118,0,2,2,0,2,0,0,0,0,184,3,187
11,CUATROCIENEGAS,123,165,0,0,170,0,6,7,2,2,0,0,0,0,352,10,362
11,CUATROCIENEGAS,124,32,0,0,121,0,2,1,0,0,0,0,0,0,156,7,163
11,CUATROCIENEGAS,125,80,0,0,40,0,1,0,2,1,0,0,0,0,124,0,124
11,CUATROCIENEGAS,126,37,0,0,205,0,0,0,0,2,0,0,0,0,244,10,254
13,ESCOBEDO,127,34,0,0,0,119,3,0,1,0,0,0,1,1,159,4,163
13,ESCOBEDO,128,31,0,0,0,103,2,1,3,0,0,0,3,0,143,3,146
13,ESCOBEDO,129,70,0,0,0,140,0,1,0,0,0,0,0,0,211,9,220
13,ESCOBEDO,130,311,0,0,0,672,4,9,4,8,0,2,1,2,1013,30,1043
10,FRANCISCO I. MADERO,131,284,0,0,0,802,14,35,134,29,6,5,2,8,1319,32,1351
10,FRANCISCO I. MADERO,132,231,0,0,0,415,10,61,79,0,9,1,11,4,821,25,846
10,FRANCISCO I. MADERO,133,110,0,0,0,363,6,15,10,2,3,0,7,11,527,16,543
10,FRANCISCO I. MADERO,134,308,0,0,0,680,32,59,45,9,9,4,50,3,1199,24,1223
10,FRANCISCO I. MADERO,135,184,0,0,0,626,14,36,22,3,24,3,50,5,967,26,993
10,FRANCISCO I. MADERO,136,152,0,0,0,400,12,20,13,1,19,5,32,4,658,12,670
10,FRANCISCO I. MADERO,137,172,0,0,0,377,4,13,24,0,3,3,15,0,611,23,634
10,FRANCISCO I. MADERO,138,193,0,0,0,512,14,16,21,2,17,8,36,0,819,20,839
10,FRANCISCO I. MADERO,139,155,0,0,0,382,11,24,15,1,9,7,21,1,626,14,640
10,FRANCISCO I. MADERO,140,119,0,0,0,0,2,23,5,7,2,2,15,1,176,3,179
10,FRANCISCO I. MADERO,141,147,0,0,0,383,8,18,7,7,8,3,11,1,593,13,606
10,FRANCISCO I. MADERO,142,190,0,0,0,282,12,34,8,4,16,2,29,0,577,13,590
10,FRANCISCO I. MADERO,143,232,0,0,0,544,16,21,10,6,12,4,47,1,893,17,910
10,FRANCISCO I. MADERO,144,189,0,0,0,515,11,21,13,2,7,0,20,2,780,18,798
10,FRANCISCO I. MADERO,145,205,0,0,0,470,12,22,36,1,4,2,18,1,771,25,796
10,FRANCISCO I. MADERO,146,194,0,0,0,611,146,34,65,5,28,0,6,1,1090,32,1122
10,FRANCISCO I. MADERO,147,273,0,0,0,645,23,37,16,3,12,3,44,7,1063,24,1087
10,FRANCISCO I. MADERO,148,271,0,0,0,339,13,31,22,2,4,3,14,1,700,17,717
10,FRANCISCO I. MADERO,149,47,0,0,0,73,0,1,1,1,1,0,0,1,125,3,128
10,FRANCISCO I. MADERO,150,148,0,0,0,142,8,3,6,1,0,1,1,0,310,6,316
10,FRANCISCO I. MADERO,151,46,0,0,0,48,2,4,2,1,0,0,0,0,103,2,105
10,FRANCISCO I. MADERO,152,120,0,0,0,326,6,7,5,2,3,0,1,0,470,5,475
10,FRANCISCO I. MADERO,153,136,0,0,0,183,11,9,3,4,8,3,2,2,361,12,373
10,FRANCISCO I. MADERO,154,132,0,0,0,322,2,6,4,1,2,2,4,0,475,12,487
10,FRANCISCO I. MADERO,155,73,0,0,0,157,5,19,1,1,1,1,3,0,261,4,265
10,FRANCISCO I. MADERO,156,97,0,0,0,227,3,5,59,2,7,1,7,1,409,8,417
10,FRANCISCO I. MADERO,157,229,0,0,0,375,24,18,12,1,7,1,3,0,670,6,676
10,FRANCISCO I. MADERO,158,57,0,0,0,257,2,14,59,2,0,1,19,2,413,11,424
10,FRANCISCO I. MADERO,159,167,0,0,0,387,9,39,16,3,5,2,5,0,633,15,648
10,FRANCISCO I. MADERO,160,92,0,0,0,184,8,29,14,2,4,0,3,0,336,15,351
10,FRANCISCO I. MADERO,161,148,0,0,0,236,53,20,23,1,6,2,4,4,497,8,505
10,FRANCISCO I. MADERO,162,136,0,0,0,312,37,337,17,6,13,21,1,3,883,57,940
10,FRANCISCO I. MADERO,163,203,0,0,0,186,7,21,2,1,5,1,0,0,426,11,437
10,FRANCISCO I. MADERO,164,150,0,0,0,194,2,7,4,2,4,1,3,0,367,4,371
10,FRANCISCO I. MADERO,165,157,0,0,0,239,8,9,33,0,1,3,6,0,456,12,468
10,FRANCISCO I. MADERO,166,161,0,0,0,286,4,11,14,3,19,1,2,1,502,12,514
10,FRANCISCO I. MADERO,167,40,0,0,0,87,6,17,57,0,3,0,5,2,217,1,218
10,FRANCISCO I. MADERO,168,174,0,0,0,561,13,13,34,1,20,1,0,0,817,17,834
10,FRANCISCO I. MADERO,169,259,0,0,0,549,16,23,84,7,6,1,18,4,967,18,985
10,FRANCISCO I. MADERO,170,61,0,0,0,187,3,5,71,1,2,1,1,0,332,5,337
10,FRANCISCO I. MADERO,171,285,0,0,0,397,6,3,54,1,5,1,5,1,758,9,767
10,FRANCISCO I. MADERO,172,188,0,0,0,233,7,4,11,2,1,0,1,1,448,14,462
11,FRONTERA,173,685,0,0,790,0,29,32,25,29,0,15,0,0,1605,56,1661
11,FRONTERA,174,639,0,0,987,0,42,43,23,30,0,8,0,0,1772,64,1836
11,FRONTERA,175,539,0,0,837,0,19,44,20,15,0,1,0,0,1475,39,1514
11,FRONTERA,176,346,0,0,547,0,17,25,13,5,0,11,0,0,964,15,979
11,FRONTERA,177,366,0,0,539,0,14,19,4,12,0,11,0,0,965,23,988
11,FRONTERA,178,302,0,0,549,0,20,17,2,7,0,4,0,0,901,13,914
11,FRONTERA,179,290,0,0,407,0,14,22,8,21,0,4,0,0,766,27,793
11,FRONTERA,180,273,0,0,460,0,11,16,12,8,0,3,0,0,783,23,806
11,FRONTERA,181,277,0,0,314,0,13,18,7,5,0,3,0,0,637,10,647
11,FRONTERA,182,207,0,0,286,0,18,7,2,11,0,1,0,0,532,18,550
11,FRONTERA,183,268,0,0,359,0,14,24,7,10,0,5,0,0,687,24,711
11,FRONTERA,184,258,0,0,358,0,7,10,4,12,0,1,0,0,650,14,664
11,FRONTERA,185,445,0,0,412,0,19,25,10,7,0,3,0,0,921,25,946
11,FRONTERA,186,282,0,0,270,0,23,12,6,4,0,6,0,0,603,6,609
11,FRONTERA,187,386,0,0,385,0,21,28,15,12,0,10,0,0,857,22,879
11,FRONTERA,188,303,0,0,362,0,18,39,3,12,0,1,0,0,738,27,765
11,FRONTERA,189,214,0,0,277,0,6,11,3,4,0,2,0,0,517,19,536
11,FRONTERA,190,282,0,0,281,0,13,12,3,15,0,5,0,0,611,17,628
11,FRONTERA,191,289,0,0,502,0,4,13,8,6,0,3,0,0,825,23,848
11,FRONTERA,192,376,0,0,618,0,8,16,10,8,0,5,0,0,1041,24,1065
11,FRONTERA,193,396,0,0,461,0,11,14,7,10,0,2,0,0,901,20,921
11,FRONTERA,194,172,0,0,219,0,7,7,1,5,0,1,0,0,412,27,439
11,FRONTERA,195,338,0,0,301,0,15,23,8,13,0,3,0,0,701,18,719
11,FRONTERA,196,207,0,0,255,0,8,10,15,19,0,5,0,0,519,13,532
11,FRONTERA,197,306,0,0,357,0,24,16,10,13,0,3,0,0,729,232,961
11,FRONTERA,198,354,0,0,491,0,12,10,5,7,0,3,0,0,882,21,903
11,FRONTERA,199,291,0,0,476,0,7,8,11,15,0,7,0,0,815,21,836
11,FRONTERA,200,323,0,0,454,0,10,18,9,31,0,0,0,0,845,21,866
11,FRONTERA,201,197,0,0,289,0,10,12,6,9,0,0,0,0,523,178,701
11,FRONTERA,202,253,0,0,409,0,11,5,5,46,0,1,0,0,730,16,746
11,FRONTERA,203,238,0,0,331,0,5,6,11,42,0,3,0,0,636,20,656
11,FRONTERA,204,267,0,0,428,0,3,4,12,11,0,2,0,0,727,16,743
11,FRONTERA,205,136,0,0,235,0,12,6,2,30,0,1,0,0,422,17,439
11,FRONTERA,206,262,0,0,411,0,7,11,9,15,0,1,0,0,716,16,732
11,FRONTERA,207,281,0,0,505,0,7,18,7,18,0,1,0,0,837,20,857
11,FRONTERA,208,264,0,0,551,0,11,18,5,18,0,6,0,0,873,28,901
11,FRONTERA,209,399,0,0,459,0,4,10,6,9,0,3,0,0,890,19,909
11,FRONTERA,210,279,0,0,456,0,7,12,8,10,0,3,0,0,775,32,807
11,FRONTERA,211,465,0,0,463,0,5,15,9,1,0,0,0,0,958,27,985
11,FRONTERA,212,327,0,0,463,0,2,14,5,2,0,0,0,0,813,17,830
11,FRONTERA,213,56,0,0,75,0,0,1,0,2,0,3,0,0,137,0,137
5,GENERAL CEPEDA,214,379,458,0,0,0,2,7,0,2,0,2,0,0,850,24,874
5,GENERAL CEPEDA,215,222,312,0,0,0,5,4,0,4,0,1,0,0,548,11,559
5,GENERAL CEPEDA,216,391,444,0,0,0,10,5,0,7,0,0,0,0,857,20,877
5,GENERAL CEPEDA,217,164,158,0,0,0,4,10,0,3,0,3,0,0,342,22,364
5,GENERAL CEPEDA,218,95,148,0,0,0,1,7,0,1,0,2,0,0,254,4,258
5,GENERAL CEPEDA,219,22,53,0,0,0,2,7,0,0,0,1,0,0,85,4,89
5,GENERAL CEPEDA,220,104,131,0,0,0,6,5,0,1,0,1,0,0,248,8,256
5,GENERAL CEPEDA,221,18,43,0,0,0,0,1,0,0,0,1,0,0,63,0,63
5,GENERAL CEPEDA,222,114,235,0,0,0,5,6,0,3,0,1,0,0,364,19,383
5,GENERAL CEPEDA,223,118,141,0,0,0,1,7,0,9,0,0,0,0,276,15,291
5,GENERAL CEPEDA,224,9,40,0,0,0,0,0,0,0,0,0,0,0,49,0,49
5,GENERAL CEPEDA,225,178,121,0,0,0,1,3,0,1,0,1,0,0,305,13,318
5,GENERAL CEPEDA,226,130,107,0,0,0,0,1,0,2,0,2,0,0,242,4,246
5,GENERAL CEPEDA,227,103,85,0,0,0,2,4,0,1,0,3,0,0,198,10,208
5,GENERAL CEPEDA,228,71,144,0,0,0,1,4,0,4,0,0,0,0,224,13,237
5,GENERAL CEPEDA,229,105,144,0,0,0,1,6,0,3,0,1,0,0,260,15,275
5,GENERAL CEPEDA,230,89,84,0,0,0,2,5,0,2,0,3,0,0,185,10,195
5,GENERAL CEPEDA,231,163,199,0,0,0,5,9,0,7,0,3,0,0,386,19,405
14,GUERRERO,233,70,0,265,0,0,0,1,1,1,0,0,0,0,338,11,349
14,GUERRERO,234,33,0,198,0,0,2,3,1,0,0,0,0,0,237,6,243
14,GUERRERO,235,25,0,144,0,0,2,0,0,1,0,0,0,0,172,3,175
14,GUERRERO,236,84,0,151,0,0,2,7,3,3,0,0,0,0,250,9,259
14,GUERRERO,237,52,0,108,0,0,1,4,0,4,0,0,0,0,169,2,171
14,HIDALGO,238,9,0,177,0,0,1,0,1,0,0,0,0,0,188,3,191
14,HIDALGO,239,47,0,491,0,0,1,1,1,0,0,0,0,0,541,2,543
15,JIMENEZ,240,25,0,0,0,205,3,1,4,1,1,0,2,5,247,12,259
15,JIMENEZ,241,25,0,0,0,305,2,3,6,0,0,2,0,0,343,7,350
15,JIMENEZ,242,159,0,0,0,752,6,5,8,3,0,1,3,0,937,29,966
15,JIMENEZ,243,165,0,0,0,354,9,9,1,2,2,1,10,40,593,14,607
15,JIMENEZ,244,93,0,0,0,321,2,5,5,2,0,2,9,0,439,17,456
15,JIMENEZ,245,281,0,0,0,670,11,8,4,0,5,2,4,29,1014,35,1049
15,JIMENEZ,246,316,0,0,0,467,20,7,3,1,2,4,2,1,823,30,853
15,JIMENEZ,247,36,0,0,0,39,2,0,0,1,0,0,1,1,80,1,81
15,JIMENEZ,248,10,0,0,0,131,1,1,0,1,0,0,1,1,146,3,149
15,JIMENEZ,249,92,0,0,0,331,5,5,5,1,1,3,3,0,446,20,466
14,JUAREZ,250,152,0,195,0,0,6,3,7,2,0,0,0,0,365,5,370
14,JUAREZ,251,89,0,112,0,0,4,2,9,0,0,0,0,0,216,1,217
14,JUAREZ,252,121,0,130,0,0,5,5,2,1,0,0,0,0,264,6,270
14,JUAREZ,253,23,0,45,0,0,2,0,3,1,0,0,0,0,74,3,77
14,JUAREZ,254,33,0,67,0,0,4,2,0,1,0,0,0,0,107,5,112
11,LAMADRID,255,271,0,0,260,0,3,12,4,6,0,2,0,0,558,19,577
11,LAMADRID,256,300,0,0,373,0,6,2,4,10,0,0,0,0,695,15,710
6,MATAMOROS,257,237,0,413,0,0,18,13,13,7,0,0,75,0,776,28,804
6,MATAMOROS,258,202,0,713,0,0,12,32,25,7,0,0,164,0,1155,32,1187
6,MATAMOROS,259,247,0,513,0,0,12,26,14,15,0,0,131,0,958,38,996
6,MATAMOROS,260,324,0,658,0,0,11,23,26,9,0,0,199,0,1250,33,1283
6,MATAMOROS,261,236,0,444,0,0,10,27,21,5,0,0,154,0,897,35,932
6,MATAMOROS,262,264,0,501,0,0,13,34,21,13,0,0,130,0,976,22,998
6,MATAMOROS,263,244,0,378,0,0,10,16,14,12,0,0,146,0,820,29,849
6,MATAMOROS,264,230,0,447,0,0,10,24,13,9,0,0,179,0,912,21,933
6,MATAMOROS,265,470,0,972,0,0,20,43,41,28,0,0,297,0,1871,45,1916
6,MATAMOROS,266,152,0,454,0,0,8,22,11,11,0,0,168,0,826,14,840
6,MATAMOROS,267,125,0,357,0,0,6,19,12,6,0,0,149,0,674,20,694
