ord,edon,munn,inegi,ife,status,dy,mo,yr,edo,mun,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,nulos,tot,l01,l02,l03,l04,l05,l06,v13,l07,l08,l09,l10,l11,l12,l13,_merge
11851,17,1,17001,17001,jailbreak pdf,1,jul,2012,Morelos,Amacuzac,1310,2327,120,1383,3062,26,157,102,271,,,,381,9331,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11852,17,2,17002,17002,jailbreak pdf,1,jul,2012,Morelos,Atlatlahucan,1516,2619,637,363,1097,2241,165,190,586,,,,352,9766,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11853,17,3,17003,17003,jailbreak pdf,1,jul,2012,Morelos,Axochiapan,1059,,1095,1343,2618,250,,5123,446,,,,841,15476,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11854,17,4,17004,17004,jailbreak pdf,1,jul,2012,Morelos,Ayala,13920,,3069,292,616,343,,902,773,,,1635,1308,29858,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11855,17,5,17005,17005,jailbreak pdf,1,jul,2012,Morelos,CoatlÃ¡n del RÃ­o,1275,1494,656,32,479,26,246,1242,80,,,,356,5886,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11856,17,6,17006,17006,jailbreak pdf,1,jul,2012,Morelos,Cuautla,18996,,17367,2115,2540,2005,,1084,5376,,,,3327,73007,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11857,17,7,17007,17007,jailbreak pdf,1,jul,2012,Morelos,Cuernavaca,40953,,41063,5985,7498,3849,,4897,10628,,,9161,4806,187432,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11858,17,8,17008,17008,jailbreak pdf,1,jul,2012,Morelos,Emiliano Zapata,5904,4273,7042,324,6712,368,4230,1336,1397,,,,1527,33103,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11859,17,9,17009,17009,jailbreak pdf,1,jul,2012,Morelos,Huitzilac,2205,1851,493,377,1511,78,1034,1094,162,,,,392,9197,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11860,17,10,17010,17010,jailbreak pdf,1,jul,2012,Morelos,Jantetelco,1512,1756,139,1219,2153,112,247,774,196,,,,256,8364,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11861,17,11,17011,17011,jailbreak pdf,1,jul,2012,Morelos,Jiutepec,24186,,18520,2053,3158,1265,,2163,5260,,,,3965,84997,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11862,17,12,17012,17012,jailbreak pdf,1,jul,2012,Morelos,Jojutla,5068,,9810,1325,1341,680,,262,2112,,,,1009,28251,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11863,17,13,17013,17013,jailbreak pdf,1,jul,2012,Morelos,Jonacatepec,1113,980,1067,2482,351,40,1269,586,,61,,,300,8249,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11864,17,14,17014,17014,jailbreak pdf,1,jul,2012,Morelos,Mazatepec,1795,2163,4277,16,175,11,101,128,72,,,,223,8961,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11865,17,15,17015,17015,jailbreak pdf,1,jul,2012,Morelos,MiacatlÃ¡n,1528,,4265,143,60,31,,1765,816,,,,657,13349,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11866,17,16,17016,17016,jailbreak pdf,1,jul,2012,Morelos,Ocuituco,918,2282,1621,92,2686,58,,853,270,,,,260,9040,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11867,17,17,17017,17017,jailbreak pdf,1,jul,2012,Morelos,Puente de Ixtla,3692,,2761,2221,6277,479,,613,,354,,,1954,28087,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11868,17,18,17018,17018,jailbreak pdf,1,jul,2012,Morelos,Temixco,5908,,15560,1543,1737,637,,1149,3961,,,,2609,45130,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11869,17,19,17019,17019,jailbreak pdf,1,jul,2012,Morelos,Tepalcingo,1421,2988,685,150,2710,33,252,3987,165,,178,,664,13222,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11870,17,20,17020,17020,jailbreak pdf,1,jul,2012,Morelos,TepoztlÃ¡n,5036,,4918,256,577,162,,2038,819,,,,601,17032,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11871,17,21,17021,17021,jailbreak pdf,1,jul,2012,Morelos,Tetecala,1427,1425,213,16,37,92,764,118,35,,,,186,4505,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11872,17,22,17022,17022,jailbreak pdf,1,jul,2012,Morelos,Tetela del VolcÃ¡n,589,1464,,,3846,,,3264,,,,,288,9451,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11873,17,23,17023,17023,jailbreak pdf,1,jul,2012,Morelos,Tlalnepantla,716,897,1618,48,15,44,,,221,,,,131,3690,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11874,17,24,17024,17024,jailbreak pdf,1,jul,2012,Morelos,TlaltizapÃ¡n,5493,,6741,494,748,371,,506,1695,,,1010,701,22715,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11875,17,25,17025,17025,jailbreak pdf,1,jul,2012,Morelos,Tlaquiltenango,2279,,2476,3891,2352,150,,621,,193,,,864,15476,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11876,17,26,17026,17026,jailbreak pdf,1,jul,2012,Morelos,Tlayacapan,1274,3176,1757,63,1926,52,237,329,195,,,,295,9304,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11877,17,27,17027,17027,jailbreak pdf,1,jul,2012,Morelos,Totolapan,1367,935,445,28,645,7,1414,311,74,,,,163,5389,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11878,17,28,17028,17028,jailbreak pdf,1,jul,2012,Morelos,Xochitepec,5992,,4353,1559,778,2377,,267,1710,,,,1244,25689,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11879,17,29,17029,17029,jailbreak pdf,1,jul,2012,Morelos,Yautepec,7032,11964,10862,1093,782,1133,1220,3771,2767,,,,2031,42655,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11880,17,30,17030,17030,jailbreak pdf,1,jul,2012,Morelos,Yecapixtla,3756,,3698,1209,6093,180,,661,,378,,,1195,20100,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11881,17,31,17031,17031,jailbreak pdf,1,jul,2012,Morelos,Zacatepec de Hidalgo,1296,4463,2503,482,889,1141,,4551,978,,,,687,16996,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11882,17,32,17032,17032,jailbreak pdf,1,jul,2012,Morelos,Zacualpan de Amilpas,881,1760,197,799,333,45,109,863,207,,,,182,5376,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
11883,17,33,17033,17033,jailbreak pdf,1,jul,2012,Morelos,Temoac,1612,1839,651,62,1180,21,1706,420,111,,,,294,7897,pan,pri,prd,pt,pvem,mc,,panal,psd,prd-pt-mc,prd-mc,pvem-panal,pri-pvem,pri-panal,matched (3)
