tla2010aycasilla,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ALIANZA POR EL PROGRESO DE TLAXCALA,PARTIDO REVOLUCIONARIO INSTITUCIONAL,UNIDOS POR TLAXCALA,UNIDOS POR SAN PABLO,PARTIDO DE LA REVOLUCION DEMOCRATICA,FORTALEZA POR ESPAÑITA,PARA RECUPERAR PANOTLA,TRANSPARENCIA Y HONESTIDAD POR TLAXCALA,PARTIDO DEL TRABAJO,UNIDAD Y TRABAJO POR TLAXCALA,PARTIDO VERDE ECOLOGISTA DE MEXICO,CONVERGENCIA,PARTIDO SOCIALISTA,PARTIDO ALIANZA CIUDADANA,PARTIDO POPULAR,PARTIDO LIBERAL TLAXCALTECA,PARTIDO DEL PUEBLO TLAXCALTECA,VOTOS NULOS
ord,edon,secn,munn,mun,casilla,tipo,Pan-panal-pac,pri,Pri-pvem-ps,Pri-ps,prd,Prd-conve,Prd-pt,Prd-pt-conve,pt,Pt-conve,pvem,conve,ps,pac,pp,plt,ppt,nul
8,29,1,1,AMAXAC DE GUERRERO,1,B,45,,80,,119,,,,2,,,,47,,1,,10,7
9,29,1,1,AMAXAC DE GUERRERO,1,C,61,,76,,125,,,,7,,,,31,,3,,9,14
10,29,2,1,AMAXAC DE GUERRERO,1,B,72,,163,,103,,,,15,,,,26,,3,,24,52
11,29,2,1,AMAXAC DE GUERRERO,1,C,79,,174,,107,,,,14,,,,41,,2,,28,9
12,29,2,1,AMAXAC DE GUERRERO,2,C,103,,165,,114,,,,12,,,,20,,4,,17,13
13,29,2,1,AMAXAC DE GUERRERO,3,C,66,,162,,98,,,,22,,,,25,,4,,19,33
14,29,3,1,AMAXAC DE GUERRERO,1,B,123,,148,,137,,,,17,,,,49,,7,,35,15
15,29,3,1,AMAXAC DE GUERRERO,1,C,113,,174,,176,,,,31,,,,45,,7,,21,13
16,29,3,1,AMAXAC DE GUERRERO,2,C,129,,172,,108,,,,16,,,,42,,6,,27,10
17,29,4,1,AMAXAC DE GUERRERO,1,B,88,,109,,122,,,,10,,,,37,,3,,11,0
18,29,5,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,140,,132,,61,,,,57,,,7,36,,,,,16
19,29,5,2,APETATITLAN DE ANTONIO CARVAJAL,1,C,149,,154,,40,,,,64,,,5,20,,,,,0
20,29,5,2,APETATITLAN DE ANTONIO CARVAJAL,2,C,125,,187,,54,,,,58,,,3,15,,,,,13
21,29,6,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,242,,156,,65,,,,34,,,20,5,,,,,17
22,29,7,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,65,,100,,21,,,,19,,,3,3,,,,,9
23,29,8,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,171,,130,,70,,,,12,,,25,9,,,,,0
24,29,8,2,APETATITLAN DE ANTONIO CARVAJAL,1,C,167,,130,,48,,,,15,,,7,3,,,,,10
25,29,8,2,APETATITLAN DE ANTONIO CARVAJAL,2,C,179,,143,,48,,,,16,,,12,12,,,,,12
26,29,9,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,68,,314,,31,,,,4,,,1,5,,,,,8
27,29,9,2,APETATITLAN DE ANTONIO CARVAJAL,1,C,60,,359,,29,,,,3,,,1,6,,,,,5
28,29,9,2,APETATITLAN DE ANTONIO CARVAJAL,2,C,60,,359,,16,,,,3,,,,5,,,,,10
29,29,10,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,62,,103,,292,,,,3,,,5,14,,,,,12
30,29,10,2,APETATITLAN DE ANTONIO CARVAJAL,1,C,38,,110,,316,,,,7,,,3,8,,,,,14
31,29,10,2,APETATITLAN DE ANTONIO CARVAJAL,2,C,61,,80,,304,,,,0,,,2,13,,,,,9
32,29,11,2,APETATITLAN DE ANTONIO CARVAJAL,1,B,141,,229,,68,,,,9,,,6,10,,,,,11
33,29,12,5,APIZACO,1,B,84,,81,,52,,,,66,,,5,2,15,1,2,1,13
34,29,12,5,APIZACO,1,C,79,,63,,56,,,,82,,,13,4,10,1,2,3,15
35,29,16,5,APIZACO,1,B,120,,58,,123,,,,75,,,10,4,12,0,3,14,11
36,29,16,5,APIZACO,1,C,118,,53,,115,,,,89,,,6,4,11,1,3,20,13
37,29,17,5,APIZACO,1,B,74,,108,,58,,,,167,,,9,3,9,0,4,2,0
38,29,17,5,APIZACO,1,C,70,,126,,58,,,,161,,,12,3,7,4,6,1,14
39,29,18,5,APIZACO,1,B,100,,85,,49,,,,98,,,8,6,17,2,4,2,8
40,29,18,5,APIZACO,1,C,90,,75,,55,,,,137,,,7,5,7,2,3,2,19
41,29,23,5,APIZACO,1,B,62,,90,,59,,,,207,,,11,7,9,2,10,2,20
42,29,24,5,APIZACO,1,B,57,,58,,38,,,,83,,,8,0,4,0,9,3,14
43,29,24,5,APIZACO,1,C,48,,50,,39,,,,96,,,6,3,2,1,7,1,8
44,29,25,5,APIZACO,1,B,100,,67,,46,,,,142,,,16,1,5,3,8,3,16
45,29,25,5,APIZACO,1,C,89,,92,,59,,,,151,,,13,4,4,3,9,1,13
46,29,26,5,APIZACO,1,B,114,,57,,67,,,,117,,,7,1,3,1,6,6,15
47,29,26,5,APIZACO,1,C,116,,59,,78,,,,128,,,12,5,4,1,2,0,13
48,29,27,5,APIZACO,1,B,103,,68,,56,,,,79,,,9,2,6,5,5,1,9
49,29,27,5,APIZACO,1,C,65,,64,,71,,,,106,,,11,4,10,1,3,1,23
50,29,27,5,APIZACO,2,C,83,,78,,31,,,,111,,,16,2,13,4,4,6,10
51,29,33,5,APIZACO,1,B,71,,61,,50,,,,98,,,8,2,6,1,5,0,8
52,29,33,5,APIZACO,1,C,87,,52,,73,,,,110,,,7,1,14,1,0,0,13
53,29,33,5,APIZACO,2,C,77,,58,,76,,,,96,,,9,5,13,3,0,3,12
54,29,34,5,APIZACO,1,B,120,,80,,67,,,,140,,,15,2,9,0,4,4,12
55,29,34,5,APIZACO,1,C,94,,79,,44,,,,137,,,21,3,12,1,3,4,11
56,29,35,5,APIZACO,1,B,373,,289,,56,,,,122,,,33,18,6,4,3,8,53
57,29,35,5,APIZACO,1,C,83,,84,,41,,,,108,,,16,1,2,0,2,2,6
58,29,36,5,APIZACO,1,B,73,,70,,64,,,,99,,,17,2,3,1,2,0,23
59,29,36,5,APIZACO,1,C,77,,72,,57,,,,197,,,19,4,9,0,5,4,12
60,29,36,5,APIZACO,2,C,66,,63,,73,,,,122,,,17,7,10,3,1,2,12
61,29,37,5,APIZACO,1,B,135,,106,,23,,,,33,,,38,12,6,5,7,22,19
62,29,37,5,APIZACO,1,C,69,,75,,51,,,,141,,,20,9,15,3,3,9,11
63,29,38,5,APIZACO,1,B,143,,122,,125,,,,29,,,19,11,25,1,1,5,23
64,29,42,5,APIZACO,1,B,56,,44,,81,,,,37,,,16,0,7,7,6,0,11
65,29,43,5,APIZACO,1,B,112,,63,,104,,,,101,,,18,6,11,2,5,7,25
66,29,43,5,APIZACO,1,C,115,,46,,95,,,,97,,,14,9,11,6,8,9,21
67,29,43,5,APIZACO,2,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,29,44,5,APIZACO,1,B,133,,81,,101,,,,75,,,17,15,30,4,11,8,18
69,29,44,5,APIZACO,1,C,118,,79,,116,,,,61,,,13,12,28,6,12,4,40
70,29,45,5,APIZACO,1,B,41,,32,,33,,,,56,,,7,3,1,1,0,1,0
71,29,48,5,APIZACO,1,B,55,,58,,26,,,,88,,,5,6,5,0,4,1,6
72,29,13,5,APIZACO,1,B,74,,68,,85,,,,86,,,12,14,13,3,4,8,15
73,29,13,5,APIZACO,1,C,65,,77,,104,,,,72,,,9,8,7,0,1,9,17
74,29,13,5,APIZACO,2,C,92,,77,,111,,,,78,,,7,4,18,2,2,5,9
75,29,14,5,APIZACO,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,29,14,5,APIZACO,1,C,117,,67,,87,,,,77,,,15,9,7,3,4,3,9
77,29,14,5,APIZACO,2,C,116,,62,,106,,,,65,,,4,15,5,4,1,6,13
78,29,14,5,APIZACO,3,C,116,,78,,107,,,,59,,,5,13,5,4,2,0,7
79,29,14,5,APIZACO,4,C,102,,85,,121,,,,69,,,9,10,8,6,0,0,10
80,29,15,5,APIZACO,1,B,94,,76,,73,,,,108,,,6,6,14,1,5,13,16
81,29,15,5,APIZACO,1,C,79,,86,,67,,,,121,,,10,4,22,2,3,4,13
82,29,19,5,APIZACO,1,B,113,,66,,64,,,,104,,,7,5,12,1,5,5,12
83,29,19,5,APIZACO,1,C,97,,55,,48,,,,116,,,3,4,14,3,6,,22
84,29,20,5,APIZACO,1,B,106,,71,,79,,,,91,,,15,1,10,2,6,4,7
85,29,21,5,APIZACO,1,B,58,,59,,42,,,,74,,,5,1,8,0,2,1,5
86,29,22,5,APIZACO,1,B,94,,99,,69,,,,111,,,9,3,9,2,3,3,8
87,29,22,5,APIZACO,1,C,94,,109,,73,,,,127,,,8,5,10,1,7,4,19
88,29,28,5,APIZACO,1,B,69,,77,,74,,,,124,,,10,5,6,3,12,8,22
89,29,28,5,APIZACO,1,C,90,,72,,69,,,,123,,,7,4,5,4,10,3,14
90,29,29,5,APIZACO,1,B,82,,50,,63,,,,100,,,9,3,7,0,0,0,21
91,29,29,5,APIZACO,1,C,78,,56,,51,,,,91,,,5,10,0,2,6,1,16
92,29,29,5,APIZACO,2,C,69,,45,,61,,,,106,,,4,5,6,0,2,6,9
93,29,30,5,APIZACO,1,B,73,,71,,95,,,,102,,,16,4,25,1,5,3,7
94,29,30,5,APIZACO,1,C,79,,76,,98,,,,96,,,16,3,15,1,6,5,10
95,29,30,5,APIZACO,2,C,88,,88,,93,,,,82,,,13,3,25,4,0,0,13
96,29,30,5,APIZACO,3,C,80,,76,,99,,,,80,,,11,2,20,2,5,4,19
97,29,30,5,APIZACO,4,C,82,,54,,88,,,,81,,,14,9,25,0,6,3,13
98,29,30,5,APIZACO,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,29,31,5,APIZACO,1,B,85,,61,,75,,,,70,,,14,0,29,1,4,4,9
100,29,31,5,APIZACO,1,C,75,,56,,80,,,,45,,,9,1,26,3,2,1,17
101,29,31,5,APIZACO,2,C,83,,49,,88,,,,74,,,9,10,13,2,1,2,17
102,29,31,5,APIZACO,3,C,81,,56,,93,,,,62,,,17,8,15,0,2,2,14
103,29,32,5,APIZACO,1,B,63,,62,,32,,,,118,,,6,14,6,2,3,5,14
104,29,32,5,APIZACO,1,C,68,,63,,36,,,,105,,,12,1,1,2,3,2,10
105,29,32,5,APIZACO,2,C,72,,63,,58,,,,90,,,7,8,5,0,5,1,11
106,29,39,5,APIZACO,1,B,73,,95,,63,,,,17,,,23,14,9,1,9,11,10
107,29,39,5,APIZACO,1,C,77,,102,,46,,,,12,,,46,15,13,0,5,10,11
108,29,40,5,APIZACO,1,B,107,,92,,115,,,,22,,,5,44,16,5,3,13,26
109,29,40,5,APIZACO,1,C,104,,90,,114,,,,19,,,14,44,30,2,5,13,12
110,29,40,5,APIZACO,2,C,111,,87,,127,,,,24,,,18,43,16,2,10,14,30
111,29,41,5,APIZACO,1,B,145,,113,,125,,,,42,,,15,26,12,2,0,22,17
112,29,41,5,APIZACO,1,C,107,,107,,144,,,,41,,,15,33,15,0,1,6,18
113,29,41,5,APIZACO,2,C,125,,88,,151,,,,34,,,24,16,44,4,7,11,16
114,29,46,5,APIZACO,1,B,101,,93,,24,,,,68,,,10,14,5,1,7,29,13
115,29,46,5,APIZACO,1,C,91,,92,,146,,,,60,,,12,6,11,1,6,17,11
116,29,47,5,APIZACO,1,B,94,,77,,112,,,,55,,,12,4,18,1,5,4,13
117,29,47,5,APIZACO,1,C,103,,52,,103,,,,44,,,11,9,9,2,6,6,0
118,29,47,5,APIZACO,2,C,116,,64,,103,,,,49,,,6,3,13,4,10,3,10
119,29,49,3,ATLANGATEPEC,1,B,52,,155,,7,,,,,121,,,11,101,,0,5,11
120,29,50,3,ATLANGATEPEC,1,B,39,,99,,3,,,,,35,,,1,59,,0,1,3
121,29,51,3,ATLANGATEPEC,1,B,51,,110,,2,,,,,8,,,2,19,,0,1,10
122,29,52,3,ATLANGATEPEC,1,B,11,,23,,0,,,,,2,,,0,18,,0,1,0
123,29,53,3,ATLANGATEPEC,1,B,83,,83,,7,,,,,85,,,2,66,,0,3,17
124,29,53,3,ATLANGATEPEC,1,C,83,,59,,10,,,,,84,,,8,74,,0,3,12
125,29,54,3,ATLANGATEPEC,1,B,51,,80,,3,,,,,2,,,2,69,,2,0,11
126,29,55,3,ATLANGATEPEC,1,B,17,,45,,4,,,,,63,,,13,47,,0,2,12
127,29,56,3,ATLANGATEPEC,1,B,42,,181,,5,,,,,52,,,14,28,,0,14,12
128,29,56,3,ATLANGATEPEC,1,C,54,,187,,4,,,,,56,,,7,30,,0,22,4
129,29,57,3,ATLANGATEPEC,1,B,53,,79,,9,,,,,19,,,3,52,,0,2,11
130,29,59,4,ATLTZAYANCA,1,B,84,,93,,,,,70,,,,,96,,,,,0
131,29,59,4,ATLTZAYANCA,1,C,48,,74,,,,,75,,,,,113,,,,,16
132,29,60,4,ATLTZAYANCA,1,B,82,,135,,,,,94,,,,,111,,,,,21
133,29,61,4,ATLTZAYANCA,1,B,19,,22,,,,,16,,,,,46,,,,,8
134,29,61,4,ATLTZAYANCA,1,E,7,,113,,,,,5,,,,,64,,,,,5
135,29,62,4,ATLTZAYANCA,1,B,22,,39,,,,,6,,,,,118,,,,,14
136,29,63,4,ATLTZAYANCA,1,B,40,,38,,,,,23,,,,,102,,,,,8
137,29,64,4,ATLTZAYANCA,1,B,46,,37,,,,,1,,,,,45,,,,,11
138,29,65,4,ATLTZAYANCA,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,29,66,4,ATLTZAYANCA,1,B,52,,133,,,,,18,,,,,49,,,,,16
140,29,67,4,ATLTZAYANCA,1,B,32,,19,,,,,12,,,,,76,,,,,9
141,29,68,4,ATLTZAYANCA,1,B,89,,133,,,,,68,,,,,191,,,,,16
142,29,68,4,ATLTZAYANCA,1,C,102,,130,,,,,81,,,,,185,,,,,25
143,29,69,4,ATLTZAYANCA,1,B,107,,196,,,,,44,,,,,196,,,,,14
144,29,70,4,ATLTZAYANCA,1,B,59,,168,,,,,56,,,,,92,,,,,0
145,29,71,4,ATLTZAYANCA,1,B,86,,209,,,,,42,,,,,214,,,,,31
146,29,72,4,ATLTZAYANCA,1,B,90,,160,,,,,9,,,,,145,,,,,24
147,29,73,4,ATLTZAYANCA,1,B,43,,38,,,,,17,,,,,55,,,,,5
148,29,74,4,ATLTZAYANCA,1,B,96,,169,,,,,31,,,,,302,,,,,0
149,29,75,4,ATLTZAYANCA,1,B,28,,135,,,,,38,,,,,46,,,,,9
150,29,76,4,ATLTZAYANCA,1,B,47,,65,,,,,11,,,,,22,,,,,4
151,29,77,4,ATLTZAYANCA,1,B,84,,156,,,,,74,,,,,116,,,,,24
152,29,77,4,ATLTZAYANCA,1,C,77,,191,,,,,60,,,,,71,,,,,16
158,29,78,6,CALPULALPAN,1,B,51,106,,,90,,,,36,,6,5,6,17,54,7,0,27
159,29,78,6,CALPULALPAN,1,C,49,113,,,70,,,,33,,9,7,10,10,52,5,0,27
160,29,78,6,CALPULALPAN,2,C,51,143,,,70,,,,32,,3,7,6,18,53,2,0,34
161,29,78,6,CALPULALPAN,3,C,51,112,,,75,,,,27,,6,4,13,8,44,0,6,27
162,29,79,6,CALPULALPAN,1,B,36,99,,,45,,,,40,,9,4,29,6,57,5,0,28
163,29,79,6,CALPULALPAN,1,C,18,120,,,41,,,,37,,10,1,16,10,53,2,0,17
164,29,79,6,CALPULALPAN,2,C,40,99,,,58,,,,45,,7,8,16,8,32,2,0,21
165,29,80,6,CALPULALPAN,1,B,43,116,,,47,,,,59,,7,4,41,16,41,14,0,19
166,29,80,6,CALPULALPAN,1,C,32,112,,,47,,,,34,,6,6,33,12,50,5,0,35
167,29,81,6,CALPULALPAN,1,B,46,130,,,61,,,,50,,8,6,50,4,39,1,0,12
168,29,81,6,CALPULALPAN,1,C,51,116,,,57,,,,43,,8,5,50,18,43,3,0,20
169,29,82,6,CALPULALPAN,1,B,36,126,,,45,,,,19,,10,9,24,11,51,6,0,26
170,29,82,6,CALPULALPAN,1,C,31,137,,,49,,,,35,,5,7,13,10,49,4,0,14
171,29,83,6,CALPULALPAN,1,B,35,123,,,69,,,,32,,4,2,15,14,50,5,0,11
172,29,83,6,CALPULALPAN,1,C,46,143,,,51,,,,27,,1,7,19,8,52,5,0,22
173,29,83,6,CALPULALPAN,2,C,34,157,,,63,,,,23,,5,10,9,8,45,12,0,22
174,29,84,6,CALPULALPAN,1,B,45,167,,,56,,,,58,,6,19,17,9,57,6,0,31
175,29,85,6,CALPULALPAN,1,B,53,90,,,60,,,,33,,10,12,9,18,53,1,0,19
176,29,85,6,CALPULALPAN,1,C,53,99,,,62,,,,35,,9,14,16,8,50,2,0,16
177,29,85,6,CALPULALPAN,2,C,33,97,,,77,,,,39,,5,9,8,14,61,2,0,19
178,29,86,6,CALPULALPAN,1,B,57,142,,,81,,,,32,,11,14,6,22,59,0,0,17
179,29,86,6,CALPULALPAN,1,C,82,162,,,61,,,,26,,7,6,6,19,67,2,0,18
180,29,87,6,CALPULALPAN,1,B,15,95,,,40,,,,9,,3,16,6,16,36,1,1,15
181,29,87,6,CALPULALPAN,1,C,17,100,,,37,,,,19,,4,11,3,13,40,0,0,19
182,29,88,6,CALPULALPAN,1,B,31,127,,,37,,,,29,,3,11,9,15,63,5,0,24
183,29,88,6,CALPULALPAN,1,C,31,123,,,42,,,,34,,6,8,4,17,67,5,0,21
184,29,89,6,CALPULALPAN,1,B,25,142,,,52,,,,24,,9,4,9,24,32,7,0,23
185,29,89,6,CALPULALPAN,1,C,33,158,,,50,,,,15,,5,4,10,13,56,5,0,17
186,29,89,6,CALPULALPAN,2,C,27,137,,,45,,,,24,,4,4,6,9,54,0,0,0
187,29,90,6,CALPULALPAN,1,B,26,101,,,61,,,,17,,7,10,12,9,31,5,0,18
188,29,90,6,CALPULALPAN,1,C,28,131,,,62,,,,17,,4,6,9,7,43,3,0,27
189,29,90,6,CALPULALPAN,2,C,32,137,,,54,,,,29,,10,3,5,8,36,4,0,14
190,29,91,6,CALPULALPAN,1,B,112,157,,,96,,,,37,,1,3,15,5,38,0,0,0
191,29,92,6,CALPULALPAN,1,B,94,64,,,313,,,,17,,5,3,1,0,15,0,0,17
192,29,92,6,CALPULALPAN,1,C,87,75,,,309,,,,34,,3,1,6,1,29,2,0,17
193,29,93,6,CALPULALPAN,1,B,30,83,,,144,,,,24,,0,8,6,1,48,1,0,14
194,29,93,6,CALPULALPAN,1,C,46,83,,,136,,,,13,,2,1,5,1,50,1,0,16
195,29,94,6,CALPULALPAN,1,B,53,117,,,180,,,,17,,3,4,12,9,140,2,0,16
196,29,95,6,CALPULALPAN,1,B,64,69,,,64,,,,4,,1,1,11,4,5,0,0,19
197,29,96,6,CALPULALPAN,1,B,60,103,,,119,,,,7,,11,3,2,0,27,1,0,13
198,29,97,6,CALPULALPAN,1,B,201,243,,,34,,,,70,,6,27,15,2,19,2,0,0
199,29,98,6,CALPULALPAN,1,B,65,129,,,71,,,,15,,12,6,15,9,37,3,0,13
200,29,98,6,CALPULALPAN,1,C,95,145,,,63,,,,15,,8,10,17,10,14,0,0,15
201,29,99,6,CALPULALPAN,1,B,20,25,,,1,,,,1,,0,0,2,0,2,0,0,2
332,29,100,7,EL CARMEN TEQUEXQUITLA,1,B,64,,91,,197,,,,,26,,,20,,,,,34
333,29,100,7,EL CARMEN TEQUEXQUITLA,1,C,98,,100,,183,,,,,20,,,28,,,,,40
334,29,100,7,EL CARMEN TEQUEXQUITLA,2,C,92,,101,,169,,,,,21,,,34,,,,,29
335,29,101,7,EL CARMEN TEQUEXQUITLA,1,B,66,,90,,188,,,,,8,,,23,,,,,17
336,29,101,7,EL CARMEN TEQUEXQUITLA,1,C,48,,65,,197,,,,,14,,,40,,,,,26
337,29,101,7,EL CARMEN TEQUEXQUITLA,2,C,44,,76,,177,,,,,10,,,30,,,,,35
338,29,102,7,EL CARMEN TEQUEXQUITLA,1,B,75,,107,,140,,,,,14,,,22,,,,,27
339,29,102,7,EL CARMEN TEQUEXQUITLA,1,C,85,,87,,158,,,,,15,,,10,,,,,21
340,29,102,7,EL CARMEN TEQUEXQUITLA,2,C,47,,117,,180,,,,,13,,,20,,,,,30
341,29,103,7,EL CARMEN TEQUEXQUITLA,1,B,74,,72,,104,,,,,7,,,35,,,,,23
342,29,103,7,EL CARMEN TEQUEXQUITLA,1,C,73,,48,,117,,,,,5,,,37,,,,,33
343,29,104,7,EL CARMEN TEQUEXQUITLA,1,B,108,,102,,189,,,,,24,,,61,,,,,27
344,29,104,7,EL CARMEN TEQUEXQUITLA,1,C,103,,113,,165,,,,,22,,,45,,,,,31
345,29,105,7,EL CARMEN TEQUEXQUITLA,1,B,77,,88,,54,,,,,8,,,7,,,,,17
346,29,106,7,EL CARMEN TEQUEXQUITLA,1,B,56,,50,,41,,,,,2,,,1,,,,,2
308,29,107,8,CUAPIAXTLA,1,B,129,,158,,25,,,,,84,,,23,44,,,,22
309,29,107,8,CUAPIAXTLA,1,C,100,,159,,28,,,,,119,,,20,33,,,,27
310,29,107,8,CUAPIAXTLA,2,C,120,,172,,18,,,,,86,,,11,39,,,,0
311,29,108,8,CUAPIAXTLA,1,B,141,,1129,,35,,,,,76,,,14,58,,,,0
312,29,108,8,CUAPIAXTLA,1,C,119,,128,,38,,,,,106,,,17,52,,,,22
313,29,109,8,CUAPIAXTLA,1,B,105,,110,,33,,,,,62,,,18,53,,,,21
314,29,109,8,CUAPIAXTLA,1,C,119,,79,,32,,,,,80,,,23,49,,,,12
315,29,109,8,CUAPIAXTLA,2,C,131,,79,,24,,,,,83,,,31,40,,,,0
316,29,110,8,CUAPIAXTLA,1,B,58,,176,,18,,,,,40,,,19,67,,,,27
317,29,110,8,CUAPIAXTLA,1,C,86,,162,,21,,,,,40,,,19,74,,,,24
318,29,111,8,CUAPIAXTLA,1,B,44,,35,,7,,,,,22,,,4,55,,,,0
319,29,112,8,CUAPIAXTLA,1,B,22,,37,,3,,,,,24,,,7,12,,,,7
320,29,113,8,CUAPIAXTLA,1,B,34,,46,,4,,,,,51,,,11,26,,,,12
321,29,114,8,CUAPIAXTLA,1,B,89,,132,,32,,,,,111,,,10,67,,,,31
322,29,115,8,CUAPIAXTLA,1,B,37,,87,,2,,,,,48,,,36,50,,,,19
323,29,116,8,CUAPIAXTLA,1,B,63,,109,,17,,,,,30,,,6,22,,,,12
324,29,117,9,CUAXOMULCO,1,B,18,72,,,,,,174,,,96,,,,,,,18
325,29,117,9,CUAXOMULCO,1,C,93,61,,,,,,153,,,86,,,,,,,17
326,29,118,9,CUAXOMULCO,1,B,42,104,,,,,,97,,,109,,,,,,,14
327,29,118,9,CUAXOMULCO,1,C,47,91,,,,,,88,,,109,,,,,,,5
328,29,119,9,CUAXOMULCO,1,B,38,101,,,,,,126,,,97,,,,,,,10
329,29,120,9,CUAXOMULCO,1,B,46,46,,,,,,52,,,19,,,,,,,1
330,29,121,9,CUAXOMULCO,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,29,121,9,CUAXOMULCO,1,C,70,110,,,,,,98,,,83,,,,,,,0
202,29,122,10,CHIAUTEMPAN,1,B,59,,167,,92,,,,,141,,,23,6,,0,5,10
203,29,122,10,CHIAUTEMPAN,1,C,71,,128,,89,,,,,145,,,38,4,,0,2,12
204,29,123,10,CHIAUTEMPAN,1,B,69,,104,,120,,,,,90,,,47,19,,0,4,24
205,29,123,10,CHIAUTEMPAN,1,C,69,,133,,118,,,,,88,,,41,6,,0,4,24
206,29,124,10,CHIAUTEMPAN,1,B,77,,106,,90,,,,,149,,,4,12,,0,4,15
207,29,124,10,CHIAUTEMPAN,1,C,73,,93,,110,,,,,138,,,5,6,,0,1,16
208,29,125,10,CHIAUTEMPAN,1,B,66,,88,,86,,,,,121,,,14,15,,0,4,14
209,29,125,10,CHIAUTEMPAN,1,C,79,,81,,100,,,,,147,,,24,16,,0,6,8
210,29,126,10,CHIAUTEMPAN,1,B,51,,69,,80,,,,,109,,,15,9,,0,3,14
211,29,126,10,CHIAUTEMPAN,1,C,41,,88,,102,,,,,114,,,21,15,,0,0,11
212,29,126,10,CHIAUTEMPAN,2,C,47,,91,,98,,,,,120,,,20,7,,0,3,14
213,29,127,10,CHIAUTEMPAN,1,B,71,,117,,73,,,,,117,,,28,12,,0,4,15
214,29,127,10,CHIAUTEMPAN,1,C,62,,119,,93,,,,,112,,,17,9,,0,4,21
215,29,127,10,CHIAUTEMPAN,2,C,66,,111,,83,,,,,101,,,37,8,,0,11,15
216,29,128,10,CHIAUTEMPAN,1,B,49,,100,,57,,,,,63,,,15,8,,0,1,5
217,29,128,10,CHIAUTEMPAN,1,C,51,,79,,56,,,,,60,,,18,12,,0,2,10
218,29,129,10,CHIAUTEMPAN,1,B,47,,106,,71,,,,,85,,,18,10,,0,3,12
219,29,129,10,CHIAUTEMPAN,1,C,65,,106,,86,,,,,70,,,24,12,,0,5,15
220,29,130,10,CHIAUTEMPAN,1,B,34,,75,,75,,,,,49,,,17,23,,0,5,10
221,29,130,10,CHIAUTEMPAN,1,C,65,,82,,80,,,,,43,,,2,1,,0,3,7
222,29,131,10,CHIAUTEMPAN,1,B,62,,68,,128,,,,,59,,,24,22,,0,8,11
223,29,131,10,CHIAUTEMPAN,1,C,68,,94,,129,,,,,75,,,21,23,,0,2,9
224,29,132,10,CHIAUTEMPAN,1,B,84,,80,,128,,,,,90,,,22,2,,0,2,13
225,29,132,10,CHIAUTEMPAN,1,C,55,,112,,130,,,,,70,,,22,11,,0,2,8
226,29,133,10,CHIAUTEMPAN,1,B,69,,114,,86,,,,,54,,,17,20,,0,3,18
227,29,133,10,CHIAUTEMPAN,1,C,69,,96,,80,,,,,54,,,25,21,,0,5,22
